PRICERANK,Area,BR,BA,Garage,Quality,AGE
1,980,1,1,1,3,51
1,1184,2,1,1,3,51
1,1268,2,1,1,3,55
1,1276,3,2,1,3,51
1,1668,2,1,1,3,54
1,1384,2,1,0,3,53
1,1060,2,1,2,3,55
1,1480,3,2,2,3,49
1,1263,2,2,0,3,47
1,1198,2,2,2,3,77
1,1412,2,1,1,3,62
1,1596,1,1,0,3,62
1,1567,2,1,1,3,68
1,1922,3,1,2,3,52
1,1388,2,1,2,3,51
1,1450,3,1,2,3,47
1,1409,2,1,1,3,51
1,1464,2,1,1,3,45
1,1655,2,1,1,3,67
1,1396,1,1,2,3,52
1,1872,3,2,2,2,17
1,1566,3,1,1,3,43
1,1649,3,1,1,3,51
1,1520,3,1,1,3,49
1,1388,2,1,2,3,52
1,1896,3,2,2,3,77
1,1424,2,1,2,3,55
1,1412,1,2,0,3,82
1,1672,3,1,2,3,53
1,1534,3,2,1,3,47
1,1526,3,2,1,3,45
1,1592,3,2,2,3,45
1,1514,2,2,1,3,38
1,1580,2,1,2,3,36
1,1550,3,1,2,3,46
1,1511,4,1,1,3,48
1,1584,3,2,2,3,45
1,1597,2,1,1,2,47
1,1636,2,1,2,3,52
1,1700,4,2,1,3,48
1,1559,2,1,2,3,50
1,1392,2,2,2,3,51
1,1592,4,2,1,3,46
1,1642,3,1,2,3,43
1,1752,4,2,2,3,52
1,1654,2,1,2,3,40
1,2208,2,2,2,2,17
1,1592,2,1,2,3,51
1,1733,4,1,1,3,66
1,2562,3,2,2,3,117
1,1524,3,2,2,3,44
1,1624,2,2,2,3,47
1,1340,3,1,0,3,50
1,1748,2,1,2,3,46
1,1436,3,2,3,3,82
1,1384,2,1,2,2,41
1,1600,3,1,2,3,52
1,1980,3,2,2,2,45
1,1604,3,2,1,3,42
1,1690,3,2,1,3,80
1,1795,1,2,2,2,22
1,1650,2,2,1,3,45
1,2008,1,2,2,3,61
1,1976,3,3,1,3,84
1,2208,2,2,2,2,17
1,1496,2,2,1,3,102
1,1178,1,1,2,3,43
1,1644,2,2,2,3,46
1,1592,2,1,1,3,51
1,1622,3,1,1,3,46
1,1460,3,2,2,2,24
1,1728,3,1,1,3,52
1,2087,2,2,2,2,36
1,1552,3,1,3,2,43
1,1636,3,1,2,3,49
1,1670,3,2,2,3,49
1,1630,3,2,2,3,24
1,1460,3,2,2,3,42
1,2008,3,1,2,3,39
1,2180,4,2,2,3,54
1,1928,2,2,2,3,61
1,1964,4,2,2,2,38
1,1502,2,2,2,2,46
1,1708,3,1,1,3,52
1,1669,3,2,2,2,35
1,1580,2,1,1,3,52
1,1364,2,1,2,3,60
1,1544,2,2,1,3,45
1,1687,2,1,1,3,61
1,1578,3,1,2,3,27
1,2020,1,2,1,2,46
1,1512,2,1,1,3,46
1,1681,3,2,1,2,45
1,1580,2,1,1,3,51
1,1604,4,2,2,3,48
1,1940,3,2,2,2,46
1,1590,2,2,2,3,46
1,1669,3,2,2,2,38
1,1586,3,2,1,3,44
1,1892,3,1,1,3,47
1,1840,3,2,2,2,42
1,1528,2,2,2,3,20
1,1809,3,1,2,3,44
1,1960,2,2,2,3,55
1,1624,3,2,2,3,54
1,1930,3,2,2,2,46
1,1540,3,2,2,3,45
1,1944,3,2,2,3,51
1,1644,3,1,2,3,46
1,1672,3,1,2,3,53
1,1628,3,1,2,3,45
1,2035,4,2,3,3,40
1,1556,2,1,3,2,43
1,1985,3,1,2,3,54
1,1952,4,2,2,3,39
1,1820,3,2,2,3,42
1,1588,4,2,2,3,22
1,1584,3,2,2,2,13
1,1460,4,2,2,3,41
1,2038,2,2,2,3,84
1,1702,3,2,2,3,41
1,1600,3,2,2,3,45
1,1816,4,1,2,3,46
1,1696,3,3,2,2,24
1,1828,3,2,2,2,46
1,1840,3,1,2,3,49
1,1762,4,3,2,2,43
1,2061,4,2,2,2,44
1,1500,2,1,0,2,64
1,1726,3,2,2,2,40
1,2007,4,3,2,2,43
1,1652,3,2,2,3,43
1,1508,2,2,2,3,43
1,2616,5,3,2,3,47
1,2208,2,2,2,2,17
1,1550,3,1,2,3,36
1,1691,3,2,2,2,34
1,2068,3,2,3,2,25
1,1540,3,2,2,3,10
1,1746,3,2,2,2,28
1,1592,4,2,2,3,25
1,1304,3,1,2,3,51
1,1676,3,2,2,3,46
1,1704,2,2,2,3,48
1,1701,3,2,1,2,20
1,1746,3,2,2,2,18
1,1566,4,2,2,2,9
1,2061,3,2,2,2,46
1,1944,3,2,2,3,63
